id_cliente,n_transacciones,monto_total,monto_promedio,monto_std,monto_max,monto_min,n_canales,n_tipos,n_productos_prom,prop_exitosas,prop_digital,cluster
1001,11,5332.139999999999,484.74,207.2970042234089,972.78,215.14,2,3,3.363636363636364,0.9090909090909092,1.0,3
1002,7,6639.719999999999,948.5314285714284,852.3017152868766,2460.95,265.99,5,5,2.7142857142857144,1.0,0.4285714285714285,1
1003,8,4015.0,501.875,156.35637617771962,717.97,280.83,2,2,3.125,1.0,1.0,3
1004,5,8961.05,1792.2099999999998,1884.488912331405,4918.08,581.4,3,3,2.0,1.0,0.2,3
1005,9,8347.61,927.5122222222222,1243.7692603611993,3821.05,126.24,4,5,3.111111111111111,0.8888888888888888,0.7777777777777778,1
1006,7,3209.36,458.48,177.97059214001249,661.51,201.16,3,3,2.2857142857142856,1.0,0.8571428571428571,3
1007,9,2727.25,303.02777777777777,109.44370673750248,479.7,120.31,5,3,1.6666666666666667,1.0,0.5555555555555556,1
1008,10,4185.29,418.529,227.1546212727259,991.03,190.83,3,3,2.8,0.9,0.7,3
1009,4,3090.2,772.55,484.8582285575857,1493.24,442.51,2,2,1.75,1.0,0.5,3
1010,10,2409.96,240.996,50.03265826770884,355.77,190.82,5,3,1.9,1.0,0.4,1
1011,6,26138.01,4356.335,1453.9440994034126,5746.59,2147.94,3,2,4.666666666666667,1.0,0.8333333333333334,0
1012,16,3894.26,243.39125,126.7966102004834,636.02,135.48,5,3,2.3125,1.0,0.375,1
1013,11,9412.01,855.6372727272727,447.3420913147098,1855.03,382.88,5,5,2.363636363636364,0.9090909090909092,0.4545454545454545,1
1014,6,2157.51,359.58500000000004,70.56520750341488,451.32,264.55,3,2,3.0,0.8333333333333334,0.6666666666666666,3
1015,6,1434.4,239.0666666666667,159.1455681653331,551.7,129.17,4,2,1.5,1.0,0.6666666666666666,3
1016,6,2461.57,410.2616666666667,178.90467935933555,631.89,224.41,2,2,3.1666666666666665,1.0,1.0,3
1017,13,59838.23,4602.94076923077,14865.220066036954,54075.16,277.21,2,3,2.923076923076923,0.8461538461538461,1.0,0
1018,4,1154.15,288.5375,84.18454346454185,406.36,218.52,1,2,1.5,1.0,0.0,3
1019,12,140383.26000000004,11698.605000000003,39533.79900305664,137234.64,120.21,2,3,3.1666666666666665,0.9166666666666666,1.0,2
1020,8,2245.31,280.66375,243.63689891414236,631.93,23.25,2,4,1.625,1.0,0.0,1
1021,9,3776.57,419.6188888888889,183.9316977470472,719.77,191.25,3,3,3.111111111111111,1.0,0.8888888888888888,3
1022,12,109622.83,9135.235833333334,30041.928891008756,104530.45,288.53,2,3,3.25,0.9166666666666666,1.0,2
1023,8,2508.11,313.51375,265.3536276603355,774.86,45.53,2,3,1.375,0.75,0.0,1
1024,1,249.97,249.97,0.0,249.97,249.97,1,1,1.0,1.0,0.0,3
1025,12,3224.38,268.6983333333333,96.3149162273362,496.35,180.36,4,2,2.333333333333333,0.8333333333333334,0.25,1
1026,7,2540.58,362.94,125.44517275155177,527.92,236.85,2,3,2.857142857142857,1.0,1.0,3
1027,6,5913.4400000000005,985.5733333333334,664.9602610281811,1878.14,124.71,3,4,2.1666666666666665,0.6666666666666666,0.1666666666666666,1
1028,8,7703.82,962.9775,626.9496797932486,2069.06,505.26,5,5,2.25,1.0,0.375,1
1029,9,2333.03,259.2255555555555,87.75085015415962,378.29,149.35,5,3,1.8888888888888888,0.8888888888888888,0.6666666666666666,1
1030,7,142267.63,20323.947142857145,52806.68358897029,140077.97,168.48,3,3,3.2857142857142856,1.0,0.5714285714285714,2
1031,5,18906.72,3781.344,991.4029505352504,5355.26,2731.27,4,2,5.0,0.8,0.6,0
1032,4,300.18,75.045,32.45695867863572,114.09,34.66,2,3,1.75,1.0,0.0,3
1033,5,1315.6,263.12,88.62408250582907,376.5,155.33,4,3,2.4,1.0,0.4,3
1034,4,1139.12,284.78,43.3221244477538,325.66,243.26,3,1,2.25,1.0,0.25,3
1035,7,4273.93,610.5614285714286,363.0112132991932,1068.26,126.33,5,5,2.4285714285714284,1.0,0.2857142857142857,1
1036,5,22435.18,4487.036,3318.188955308302,9683.42,2046.4,4,2,4.2,1.0,0.4,0
1037,5,8184.73,1636.946,2673.6074985176865,6407.6,227.35,3,4,3.2,1.0,0.8,3
1038,6,894.27,149.045,89.32531751972674,271.62,23.07,2,4,1.8333333333333333,1.0,0.0,1
1039,17,8080.78,475.34,175.95500856042716,848.39,207.33,3,3,3.176470588235294,0.9411764705882352,0.7647058823529411,1
1040,10,2389.41,238.941,57.55326160271988,321.19,157.88,5,3,2.0,0.9,0.4,1
1041,11,3173.79,288.5263636363636,182.8237576614553,821.92,169.43,5,3,2.090909090909091,0.9090909090909092,0.4545454545454545,1
1042,6,3118.7200000000003,519.7866666666667,299.42674186963774,890.89,128.2,2,2,2.5,1.0,1.0,3
1043,9,4358.11,484.2344444444444,1074.0019606140288,3343.43,34.04,2,5,1.5555555555555556,1.0,0.0,1
1044,8,68114.6,8514.325,18538.249324925862,53795.32,312.99,4,4,2.5,0.875,0.5,0
1045,5,6081.8,1216.36,1207.3866443480315,3001.88,205.59,4,4,2.2,0.8,0.4,1
1046,5,1426.43,285.286,179.63317909005565,539.12,116.67,4,3,1.8,0.6,0.6,1
1047,12,5423.21,451.9341666666666,110.3622364973498,606.05,298.96,2,3,2.833333333333333,0.9166666666666666,1.0,3
1048,7,8430.32,1204.3314285714284,1036.6368221389234,2464.15,277.24,3,4,2.4285714285714284,1.0,0.4285714285714285,1
1049,10,112936.77,11293.677,34798.42348006621,110331.3,181.47,4,4,2.1,0.5,0.6,2
1050,7,1493.99,213.42714285714283,78.85409452786534,326.66,99.81,4,3,2.142857142857143,1.0,0.2857142857142857,1
1051,6,2487.8,414.6333333333334,196.58945838133508,708.23,209.6,2,3,2.833333333333333,1.0,1.0,3
1052,1,5125.03,5125.03,0.0,5125.03,5125.03,1,1,5.0,1.0,1.0,3
1053,10,2904.37,290.437,149.30365598336832,623.81,125.16,3,3,2.7,0.9,0.6,3
1054,9,6411.360000000001,712.3733333333334,391.1675158419984,1182.43,114.7,5,5,2.7777777777777777,1.0,0.5555555555555556,1
